Source,Target,Type,Weight
mward04,Johnny_Solo,undirected,19999.866666666665
mward04,mailtribune,undirected,19997.3
mward04,claycauldron,undirected,19994.933333333334
mward04,Mocha_Jesus,undirected,19993.916666666668
mward04,APR_Radio,undirected,39986.26666666667
mward04,taradublinrocks,undirected,19992.883333333335
mward04,ScottLegler,undirected,39985.2
mward04,Mr_MissPick6,undirected,19987.3
mward04,LAmaleCA,undirected,39970.566666666666
mward04,TVStudioGrrrl,undirected,19984.0
mward04,Envirothink,undirected,19983.0
mward04,walicolt2020,undirected,19982.016666666666
mward04,marystod,undirected,19980.766666666666
mward04,johnengle123,undirected,19975.233333333334
mward04,BCoffeeMonkey,undirected,19972.416666666668
mward04,KayaColor,undirected,19969.683333333334
mward04,PoojaOnTV,undirected,19964.916666666668
mward04,steeveedee63,undirected,19962.966666666667
mward04,SomewhereinATX,undirected,19960.983333333334
mward04,jake_bittle,undirected,19951.616666666665
mward04,MojaveMamma,undirected,19946.416666666668
mward04,MrDVillanueva,undirected,19946.0
mward04,bpduss,undirected,19929.1
mward04,authorRosemaryS,undirected,19925.616666666665
mward04,FOX23BradCarl,undirected,19919.0
mward04,koko91634376,undirected,19916.916666666668
mward04,gardenspell,undirected,19915.85
mward04,NazmulKabirRony,undirected,19912.966666666667
mward04,DVGoldCoast,undirected,19912.783333333333
mward04,M_S_J,undirected,19900.05
mward04,JoeyConway,undirected,19890.416666666668
mward04,lukelaw4444,undirected,19882.366666666665
mward04,AuntieDoni,undirected,19873.7
mward04,Super8Escondido,undirected,19867.283333333333
mward04,topdog1209,undirected,39720.13333333333
mward04,MadKane,undirected,19857.066666666666
mward04,PJaxGrill,undirected,19845.066666666666
mward04,AScheinthalWSVN,undirected,19835.483333333334
mward04,truth_ag,undirected,19831.933333333334
mward04,starseedhoshi,undirected,19830.816666666666
mward04,SherryjaneCooke,undirected,19817.0
mward04,NateBradySteele,undirected,19816.816666666666
mward04,TannerBeymer,undirected,19815.4
mward04,WFLAJosh,undirected,19808.083333333332
mward04,A_Creative_Type,undirected,19805.4
mward04,SpencerRicks,undirected,19797.266666666666
mward04,Lollardfish,undirected,19786.166666666668
mward04,YourrMaster,undirected,19784.983333333334
mward04,DMRegister,undirected,19782.233333333334
mward04,Gilman_Bedigian,undirected,19776.516666666666
mward04,PreciousProverb,undirected,19774.35
mward04,Darkside2Light,undirected,19772.4
mward04,cyanbreak,undirected,19770.0
mward04,DrJohnAquino,undirected,19762.75
mward04,brianfagioli,undirected,19757.016666666666
mward04,Titmous70612275,undirected,19746.016666666666
mward04,eammon,undirected,19745.8
mward04,blkchninstitute,undirected,19745.783333333333
mward04,cbs11doug,undirected,19739.7
mward04,indiacause,undirected,19733.65
mward04,tiniskwerl,undirected,19732.9
mward04,EricaLScott,undirected,19722.35
mward04,amdenijs7,undirected,19720.566666666666
mward04,KIKI_SRQUS,undirected,19715.95
mward04,spoonzoo,undirected,19715.416666666668
mward04,jaydoll51,undirected,19705.45
mward04,LorieCBN,undirected,19704.45
mward04,allbeforecoffee,undirected,19699.25
mward04,shotwithspirit,undirected,19684.883333333335
mward04,bcstephy11,undirected,19684.3
mward04,iFirebrand,undirected,19673.416666666668
mward04,VerdeFoodTruck,undirected,19604.3
mward04,Melo_AS,undirected,19763.55
mward04,Prathers_FCS,undirected,19646.25
mward04,Folks_FCS,undirected,19645.05
Johnny_Solo,mailtribune,undirected,19997.433333333334
Johnny_Solo,claycauldron,undirected,19995.066666666666
Johnny_Solo,Mocha_Jesus,undirected,19994.05
Johnny_Solo,APR_Radio,undirected,19993.266666666666
Johnny_Solo,taradublinrocks,undirected,19993.016666666666
Johnny_Solo,ScottLegler,undirected,19992.733333333334
Johnny_Solo,Mr_MissPick6,undirected,19987.433333333334
Johnny_Solo,LAmaleCA,undirected,19985.416666666668
Johnny_Solo,TVStudioGrrrl,undirected,19984.133333333335
Johnny_Solo,Envirothink,undirected,19983.133333333335
Johnny_Solo,marystod,undirected,19980.9
Johnny_Solo,johnengle123,undirected,19975.366666666665
Johnny_Solo,BCoffeeMonkey,undirected,19972.55
Johnny_Solo,KayaColor,undirected,19969.816666666666
Johnny_Solo,PoojaOnTV,undirected,19965.05
Johnny_Solo,SomewhereinATX,undirected,19961.116666666665
Johnny_Solo,jake_bittle,undirected,19951.75
Johnny_Solo,MojaveMamma,undirected,19946.55
Johnny_Solo,bpduss,undirected,19929.233333333334
Johnny_Solo,authorRosemaryS,undirected,19925.75
Johnny_Solo,FOX23BradCarl,undirected,19919.133333333335
Johnny_Solo,koko91634376,undirected,19917.05
Johnny_Solo,gardenspell,undirected,19915.983333333334
Johnny_Solo,NazmulKabirRony,undirected,19913.1
Johnny_Solo,DVGoldCoast,undirected,19912.916666666668
Johnny_Solo,M_S_J,undirected,19900.183333333334
Johnny_Solo,JoeyConway,undirected,19890.55
Johnny_Solo,lukelaw4444,undirected,19882.5
Johnny_Solo,AuntieDoni,undirected,19873.833333333332
Johnny_Solo,Super8Escondido,undirected,19867.416666666668
Johnny_Solo,topdog1209,undirected,19860.2
Johnny_Solo,MadKane,undirected,19857.2
Johnny_Solo,PJaxGrill,undirected,19845.2
Johnny_Solo,AScheinthalWSVN,undirected,19835.616666666665
Johnny_Solo,truth_ag,undirected,19832.066666666666
Johnny_Solo,starseedhoshi,undirected,19830.95
Johnny_Solo,SherryjaneCooke,undirected,19817.133333333335
Johnny_Solo,NateBradySteele,undirected,19816.95
Johnny_Solo,WFLAJosh,undirected,19808.216666666667
Johnny_Solo,A_Creative_Type,undirected,19805.533333333333
Johnny_Solo,Lollardfish,undirected,19786.3
Johnny_Solo,YourrMaster,undirected,19785.116666666665
Johnny_Solo,DMRegister,undirected,19782.366666666665
Johnny_Solo,Gilman_Bedigian,undirected,19776.65
Johnny_Solo,PreciousProverb,undirected,19774.483333333334
Johnny_Solo,Darkside2Light,undirected,19772.533333333333
Johnny_Solo,cyanbreak,undirected,19770.133333333335
Johnny_Solo,DrJohnAquino,undirected,19762.883333333335
Johnny_Solo,brianfagioli,undirected,19757.15
Johnny_Solo,Titmous70612275,undirected,19746.15
Johnny_Solo,eammon,undirected,19745.933333333334
Johnny_Solo,blkchninstitute,undirected,19745.916666666668
Johnny_Solo,cbs11doug,undirected,19739.833333333332
Johnny_Solo,indiacause,undirected,19733.783333333333
Johnny_Solo,tiniskwerl,undirected,19733.033333333333
Johnny_Solo,EricaLScott,undirected,19722.483333333334
Johnny_Solo,amdenijs7,undirected,19720.7
Johnny_Solo,KIKI_SRQUS,undirected,19716.083333333332
Johnny_Solo,spoonzoo,undirected,19715.55
Johnny_Solo,jaydoll51,undirected,19705.583333333332
Johnny_Solo,shotwithspirit,undirected,19685.016666666666
Johnny_Solo,iFirebrand,undirected,19673.55
Johnny_Solo,VerdeFoodTruck,undirected,39208.86666666667
Johnny_Solo,Melo_AS,undirected,39527.36666666667
Johnny_Solo,Prathers_FCS,undirected,19646.383333333335
Johnny_Solo,Folks_FCS,undirected,19645.183333333334
l8teebug,churchpplbelike,undirected,19995.4
l8teebug,lisa_longo,undirected,19987.233333333334
l8teebug,lmflorey,undirected,19978.566666666666
l8teebug,elliotolsen,undirected,19974.35
l8teebug,LaughingRedhead,undirected,19965.033333333333
l8teebug,annmsutton,undirected,19964.9
l8teebug,SRattMatt,undirected,19949.783333333333
l8teebug,mjriebel,undirected,19948.566666666666
l8teebug,IrvingFisherPhD,undirected,19947.066666666666
l8teebug,TheGeneMcGuire,undirected,19938.116666666665
l8teebug,saltybananie,undirected,19934.116666666665
l8teebug,JeremyJDay,undirected,19933.666666666668
l8teebug,itsmepanda1,undirected,19926.983333333334
l8teebug,ashlandJohn,undirected,19919.95
l8teebug,MichaelHenrich,undirected,19904.716666666667
l8teebug,MichaelinPhilly,undirected,19899.833333333332
l8teebug,tlweng74,undirected,19891.2
l8teebug,CL_Cloud150,undirected,19878.95
l8teebug,CLTea_PoliSigh,undirected,19878.45
l8teebug,EarthDotCom,undirected,19876.933333333334
l8teebug,DavidHrvatin,undirected,19876.9
l8teebug,BreakinNewz01,undirected,19875.783333333333
l8teebug,TheRealMorley,undirected,19872.2
l8teebug,Biggsium,undirected,19858.266666666666
l8teebug,TCMcrush,undirected,19855.933333333334
l8teebug,robfairbank,undirected,19855.65
l8teebug,NJPoisonCenter,undirected,19828.65
l8teebug,mindthrust,undirected,19827.166666666668
l8teebug,produceretailer,undirected,19826.4
l8teebug,KaySch10,undirected,19819.75
l8teebug,bakagi,undirected,19818.983333333334
l8teebug,kaymsanto,undirected,19808.133333333335
l8teebug,sure_edit_tweet,undirected,19805.0
l8teebug,EVMSedu,undirected,19803.85
l8teebug,NPProPia,undirected,19800.65
l8teebug,DeathbedFood,undirected,19796.95
l8teebug,bensimmoneau,undirected,19793.5
l8teebug,EdanClay,undirected,19788.733333333334
l8teebug,JoseOrtega4,undirected,19788.533333333333
l8teebug,specialforksndy,undirected,19788.166666666668
l8teebug,heatherswan,undirected,19787.85
l8teebug,CaryB,undirected,19787.733333333334
l8teebug,4029Paige,undirected,19785.816666666666
l8teebug,metaljoveku,undirected,19785.5
l8teebug,mkoeris,undirected,19784.733333333334
l8teebug,ScreenBug,undirected,19784.016666666666
l8teebug,KateManning10,undirected,19783.733333333334
l8teebug,theChoiceFM,undirected,19778.066666666666
l8teebug,BritWeaver,undirected,19777.9
l8teebug,Ferglur2018,undirected,19777.466666666667
l8teebug,DVBergen,undirected,19769.966666666667
l8teebug,DVPassaic,undirected,19769.966666666667
l8teebug,TruthOrDrought,undirected,19769.016666666666
l8teebug,dbhoops,undirected,19766.033333333333
l8teebug,FPBulletin,undirected,19762.0
l8teebug,ImaSithDuh,undirected,19758.816666666666
l8teebug,rickydee82,undirected,19754.583333333332
l8teebug,Kingpatti,undirected,19751.766666666666
l8teebug,paislation,undirected,19742.916666666668
l8teebug,KVUE,undirected,19739.633333333335
l8teebug,FOX5Vegas,undirected,19734.55
l8teebug,tgabrukiewicz,undirected,19733.5
l8teebug,WhatDustinSaid,undirected,19723.25
l8teebug,sxbegle,undirected,19722.483333333334
l8teebug,Brennessey,undirected,19722.166666666668
l8teebug,KBow5,undirected,19722.116666666665
l8teebug,lynscal,undirected,19720.316666666666
l8teebug,caroljoynt,undirected,19719.366666666665
l8teebug,NewEnglandMomma,undirected,19717.266666666666
l8teebug,ShannpannMyers,undirected,19716.733333333334
l8teebug,cbiz,undirected,19713.65
l8teebug,HeatherBurian,undirected,19707.233333333334
l8teebug,pwilson720,undirected,19705.85
l8teebug,bylenasun,undirected,19704.65
l8teebug,wanjek,undirected,19700.966666666667
l8teebug,KrysiaW,undirected,19699.483333333334
l8teebug,EatGoodful,undirected,19689.816666666666
l8teebug,JennCabe,undirected,19681.816666666666
l8teebug,RBolger9,undirected,19943.216666666667
mailtribune,claycauldron,undirected,19997.633333333335
mailtribune,Mocha_Jesus,undirected,19996.616666666665
mailtribune,APR_Radio,undirected,19995.833333333332
mailtribune,taradublinrocks,undirected,19995.583333333332
mailtribune,ScottLegler,undirected,19995.3
mailtribune,Mr_MissPick6,undirected,19990.0
mailtribune,LAmaleCA,undirected,19987.983333333334
mailtribune,TVStudioGrrrl,undirected,19986.7
mailtribune,Envirothink,undirected,19985.7
mailtribune,marystod,undirected,19983.466666666667
mailtribune,johnengle123,undirected,19977.933333333334
mailtribune,BCoffeeMonkey,undirected,19975.116666666665
mailtribune,KayaColor,undirected,19972.383333333335
mailtribune,PoojaOnTV,undirected,19967.616666666665
mailtribune,SomewhereinATX,undirected,19963.683333333334
mailtribune,jake_bittle,undirected,19954.316666666666
mailtribune,MojaveMamma,undirected,19949.116666666665
mailtribune,bpduss,undirected,19931.8
mailtribune,authorRosemaryS,undirected,19928.316666666666
mailtribune,FOX23BradCarl,undirected,19921.7
mailtribune,koko91634376,undirected,19919.616666666665
mailtribune,gardenspell,undirected,19918.55
mailtribune,NazmulKabirRony,undirected,19915.666666666668
mailtribune,DVGoldCoast,undirected,19915.483333333334
mailtribune,M_S_J,undirected,19902.75
mailtribune,JoeyConway,undirected,19893.116666666665
mailtribune,lukelaw4444,undirected,19885.066666666666
mailtribune,AuntieDoni,undirected,19876.4
mailtribune,Super8Escondido,undirected,19869.983333333334
mailtribune,topdog1209,undirected,19862.766666666666
mailtribune,MadKane,undirected,19859.766666666666
mailtribune,PJaxGrill,undirected,19847.766666666666
mailtribune,AScheinthalWSVN,undirected,19838.183333333334
mailtribune,truth_ag,undirected,19834.633333333335
mailtribune,starseedhoshi,undirected,19833.516666666666
mailtribune,SherryjaneCooke,undirected,19819.7
mailtribune,NateBradySteele,undirected,19819.516666666666
mailtribune,WFLAJosh,undirected,19810.783333333333
mailtribune,A_Creative_Type,undirected,19808.1
mailtribune,Lollardfish,undirected,19788.866666666665
mailtribune,YourrMaster,undirected,19787.683333333334
mailtribune,DMRegister,undirected,19784.933333333334
mailtribune,Gilman_Bedigian,undirected,19779.216666666667
mailtribune,PreciousProverb,undirected,19777.05
mailtribune,Darkside2Light,undirected,19775.1
mailtribune,cyanbreak,undirected,19772.7
mailtribune,DrJohnAquino,undirected,19765.45
mailtribune,brianfagioli,undirected,19759.716666666667
mailtribune,Titmous70612275,undirected,19748.716666666667
mailtribune,eammon,undirected,19748.5
mailtribune,blkchninstitute,undirected,19748.483333333334
mailtribune,cbs11doug,undirected,19742.4
mailtribune,indiacause,undirected,19736.35
mailtribune,tiniskwerl,undirected,19735.6
mailtribune,EricaLScott,undirected,19725.05
mailtribune,amdenijs7,undirected,19723.266666666666
mailtribune,KIKI_SRQUS,undirected,19718.65
mailtribune,spoonzoo,undirected,19718.116666666665
mailtribune,jaydoll51,undirected,19708.15
mailtribune,shotwithspirit,undirected,19687.583333333332
mailtribune,iFirebrand,undirected,19676.116666666665
mailtribune,VerdeFoodTruck,undirected,19607.0
mailtribune,Melo_AS,undirected,19766.25
mailtribune,Prathers_FCS,undirected,19648.95
mailtribune,Folks_FCS,undirected,19647.75
GypsyRoseKnows,EddieBarojas,undirected,19999.933333333334
GypsyRoseKnows,MarlisaBrownRD,undirected,19993.783333333333
GypsyRoseKnows,BhotrockJhorock,undirected,19988.933333333334
GypsyRoseKnows,vivelaliberte,undirected,19985.316666666666
GypsyRoseKnows,joebossalini,undirected,19984.166666666668
GypsyRoseKnows,SeniorList,undirected,19974.9
GypsyRoseKnows,DnnHealth,undirected,19972.05
GypsyRoseKnows,BaxterState,undirected,19966.566666666666
GypsyRoseKnows,Natalie_Page,undirected,19965.9
GypsyRoseKnows,laurfranko,undirected,19962.0
GypsyRoseKnows,deannaothman,undirected,19959.433333333334
GypsyRoseKnows,ryansatterfeal,undirected,39905.2
GypsyRoseKnows,Bchamcharatsri,undirected,39904.63333333333
GypsyRoseKnows,CameronVW,undirected,19950.733333333334
GypsyRoseKnows,sckhko,undirected,19950.083333333332
GypsyRoseKnows,AprilTheSocialM,undirected,19946.183333333334
GypsyRoseKnows,RobJinTheCity,undirected,19943.633333333335
GypsyRoseKnows,AtiNFarmani,undirected,19941.733333333334
GypsyRoseKnows,PogoWasRight,undirected,19941.283333333333
GypsyRoseKnows,FnBConfidential,undirected,19940.35
GypsyRoseKnows,BiondoLia,undirected,19939.516666666666
GypsyRoseKnows,fakeRossWeinreb,undirected,19937.933333333334
GypsyRoseKnows,marktavern,undirected,19935.016666666666
GypsyRoseKnows,gjurasicpark,undirected,19862.416666666668
GypsyRoseKnows,peasblog,undirected,19930.266666666666
GypsyRoseKnows,gigi_to_go,undirected,39859.36666666667
GypsyRoseKnows,ItsJimmyRivera,undirected,19927.3
GypsyRoseKnows,shackbully,undirected,19926.4
GypsyRoseKnows,ChrisRedfern419,undirected,19924.716666666667
GypsyRoseKnows,SteveRudinABC7,undirected,19924.3
GypsyRoseKnows,Brownstone_VI,undirected,19919.983333333334
GypsyRoseKnows,jbuchanan725,undirected,19918.4
GypsyRoseKnows,LeoUzych,undirected,19918.25
GypsyRoseKnows,therunawaymama,undirected,19915.333333333332
GypsyRoseKnows,cmm912,undirected,19909.883333333335
GypsyRoseKnows,sp3llczecher,undirected,19909.566666666666
GypsyRoseKnows,PulpNews,undirected,19904.05
GypsyRoseKnows,HealthStyle101,undirected,39806.066666666666
GypsyRoseKnows,McjiltonTony,undirected,19899.233333333334
GypsyRoseKnows,DaniFontaine86,undirected,19898.233333333334
GypsyRoseKnows,TheExpGourmand,undirected,19891.083333333332
GypsyRoseKnows,ncchrisp,undirected,19890.85
GypsyRoseKnows,CPAPnea,undirected,19886.316666666666
GypsyRoseKnows,robwoodyard1,undirected,19883.0
GypsyRoseKnows,TPane1,undirected,19882.9
GypsyRoseKnows,0avatar217,undirected,19877.833333333332
GypsyRoseKnows,tonycordwell,undirected,19873.966666666667
GypsyRoseKnows,1moresnowflake,undirected,19866.716666666667
GypsyRoseKnows,TechCatslady,undirected,19861.95
