Source,Target,Type,Weight
FarleyEye,Natalie_Page,undirected,19969.583333333332
FarleyEye,Frambozen,undirected,19954.616666666665
FarleyEye,GypsyRoseKnows,undirected,19935.583333333332
FarleyEye,bck27,undirected,19929.116666666665
FarleyEye,TheExpGourmand,undirected,19894.766666666666
FarleyEye,cbs11doug,undirected,19858.716666666667
FarleyEye,MariettaPosts,undirected,19856.166666666668
FarleyEye,danadanewfame,undirected,19848.966666666667
FarleyEye,JimmyXJames,undirected,19805.85
APR_Radio,ScottLegler,undirected,351381.7000000001
APR_Radio,LAmaleCA,undirected,39984.3
APR_Radio,walicolt2020,undirected,19988.883333333335
APR_Radio,steeveedee63,undirected,19969.833333333332
APR_Radio,MrDVillanueva,undirected,19952.866666666665
APR_Radio,NJPoisonCenter,undirected,19942.166666666668
APR_Radio,romainelettuc10,undirected,19917.2
APR_Radio,Data_Dreamer,undirected,19913.283333333333
APR_Radio,KBow5,undirected,19909.333333333332
APR_Radio,PoojaOnTV,undirected,19905.816666666666
APR_Radio,mailtribune,undirected,19884.166666666668
APR_Radio,topdog1209,undirected,39733.86666666667
APR_Radio,KVUE,undirected,19864.133333333335
APR_Radio,westerndigital,undirected,19831.333333333332
APR_Radio,TannerBeymer,undirected,19822.266666666666
APR_Radio,SpencerRicks,undirected,19804.133333333335
APR_Radio,WxManAJB,undirected,19801.283333333333
ScottLegler,LAmaleCA,undirected,39985.36666666667
ScottLegler,walicolt2020,undirected,19989.416666666668
ScottLegler,steeveedee63,undirected,19970.366666666665
ScottLegler,MrDVillanueva,undirected,19953.4
ScottLegler,NJPoisonCenter,undirected,19942.7
ScottLegler,romainelettuc10,undirected,19917.733333333334
ScottLegler,Data_Dreamer,undirected,19913.816666666666
ScottLegler,KBow5,undirected,19909.866666666665
ScottLegler,PoojaOnTV,undirected,19906.35
ScottLegler,mailtribune,undirected,19884.7
ScottLegler,topdog1209,undirected,39734.933333333334
ScottLegler,KVUE,undirected,19864.666666666668
ScottLegler,westerndigital,undirected,19831.866666666665
ScottLegler,TannerBeymer,undirected,19822.8
ScottLegler,SpencerRicks,undirected,19804.666666666668
ScottLegler,WxManAJB,undirected,19801.816666666666
LAmaleCA,walicolt2020,undirected,19996.733333333334
LAmaleCA,steeveedee63,undirected,19977.683333333334
LAmaleCA,MrDVillanueva,undirected,19960.716666666667
LAmaleCA,NJPoisonCenter,undirected,19950.016666666666
LAmaleCA,romainelettuc10,undirected,19925.05
LAmaleCA,Data_Dreamer,undirected,19921.133333333335
LAmaleCA,KBow5,undirected,19917.183333333334
LAmaleCA,PoojaOnTV,undirected,19913.666666666668
LAmaleCA,mailtribune,undirected,19892.016666666666
LAmaleCA,topdog1209,undirected,39749.566666666666
LAmaleCA,KVUE,undirected,19871.983333333334
LAmaleCA,westerndigital,undirected,19839.183333333334
LAmaleCA,TannerBeymer,undirected,19830.116666666665
LAmaleCA,SpencerRicks,undirected,19811.983333333334
LAmaleCA,WxManAJB,undirected,19809.133333333335
walicolt2020,steeveedee63,undirected,39961.9
walicolt2020,MrDVillanueva,undirected,39927.96666666667
walicolt2020,NJPoisonCenter,undirected,19953.283333333333
walicolt2020,romainelettuc10,undirected,19928.316666666666
walicolt2020,Data_Dreamer,undirected,19924.4
walicolt2020,KBow5,undirected,19920.45
walicolt2020,PoojaOnTV,undirected,19916.933333333334
walicolt2020,sportsterchic,undirected,19908.783333333333
walicolt2020,mailtribune,undirected,19895.283333333333
walicolt2020,topdog1209,undirected,19878.05
walicolt2020,KVUE,undirected,19875.25
walicolt2020,westerndigital,undirected,19842.45
walicolt2020,TannerBeymer,undirected,39666.76666666667
walicolt2020,SpencerRicks,undirected,39630.5
walicolt2020,WxManAJB,undirected,19812.4
steeveedee63,MrDVillanueva,undirected,39966.066666666666
steeveedee63,NJPoisonCenter,undirected,19972.333333333332
steeveedee63,romainelettuc10,undirected,19947.366666666665
steeveedee63,Data_Dreamer,undirected,19943.45
steeveedee63,KBow5,undirected,19939.5
steeveedee63,PoojaOnTV,undirected,19935.983333333334
steeveedee63,sportsterchic,undirected,19927.833333333332
steeveedee63,mailtribune,undirected,19914.333333333332
steeveedee63,topdog1209,undirected,19897.1
steeveedee63,KVUE,undirected,19894.3
steeveedee63,westerndigital,undirected,19861.5
steeveedee63,TannerBeymer,undirected,39704.86666666667
steeveedee63,SpencerRicks,undirected,59502.899999999994
steeveedee63,WxManAJB,undirected,19831.45
Natalie_Page,Frambozen,undirected,19985.033333333333
Natalie_Page,GypsyRoseKnows,undirected,19966.0
Natalie_Page,bck27,undirected,19959.533333333333
Natalie_Page,therunawaymama,undirected,19949.433333333334
Natalie_Page,TheExpGourmand,undirected,39850.36666666667
Natalie_Page,ncchrisp,undirected,19924.95
Natalie_Page,cbs11doug,undirected,19889.133333333335
Natalie_Page,MariettaPosts,undirected,19886.583333333332
Natalie_Page,danadanewfame,undirected,39758.76666666667
